tool,day,stars
duckdb,2026-07-11,39287
polars,2026-07-11,38979
dbt,2026-07-11,13411
dlt,2026-07-11,5592
duckdb,2026-07-12,39300
polars,2026-07-12,38983
dbt,2026-07-12,13412
dlt,2026-07-12,5592
duckdb,2026-07-13,39320
polars,2026-07-13,38993
dbt,2026-07-13,13431
dlt,2026-07-13,5595
duckdb,2026-07-14,39369
polars,2026-07-14,39005
dbt,2026-07-14,13442
dlt,2026-07-14,5602
duckdb,2026-07-15,39414
polars,2026-07-15,39015
dbt,2026-07-15,13450
dlt,2026-07-15,5610
duckdb,2026-07-16,39447
polars,2026-07-16,39023
dbt,2026-07-16,13456
dlt,2026-07-16,5615
duckdb,2026-07-17,39478
polars,2026-07-17,39028
dbt,2026-07-17,13462
dlt,2026-07-17,5621
duckdb,2026-07-18,39504
polars,2026-07-18,39037
dbt,2026-07-18,13467
dlt,2026-07-18,5626
duckdb,2026-07-19,39522
polars,2026-07-19,39041
dbt,2026-07-19,13475
dlt,2026-07-19,5629
duckdb,2026-07-20,39546
polars,2026-07-20,39053
dbt,2026-07-20,13478
dlt,2026-07-20,5632
duckdb,2026-07-21,39566
polars,2026-07-21,39061
dbt,2026-07-21,13488
dlt,2026-07-21,5633
duckdb,2026-07-22,39603
polars,2026-07-22,39068
dbt,2026-07-22,13490
dlt,2026-07-22,5640
duckdb,2026-07-23,39632
polars,2026-07-23,39072
dbt,2026-07-23,13500
dlt,2026-07-23,5642
duckdb,2026-07-24,39668
polars,2026-07-24,39082
dbt,2026-07-24,13509
dlt,2026-07-24,5652
duckdb,2026-07-25,39692
polars,2026-07-25,39096
dbt,2026-07-25,13513
dlt,2026-07-25,5659
duckdb,2026-07-26,39715
polars,2026-07-26,39107
dbt,2026-07-26,13516
dlt,2026-07-26,5662
duckdb,2026-07-27,39736
polars,2026-07-27,39111
dbt,2026-07-27,13520
dlt,2026-07-27,5667
duckdb,2026-07-28,39760
polars,2026-07-28,39114
dbt,2026-07-28,13528
dlt,2026-07-28,5669
duckdb,2026-07-29,39779
polars,2026-07-29,39124
dbt,2026-07-29,13539
dlt,2026-07-29,5674
duckdb,2026-07-30,39807
polars,2026-07-30,39131
dbt,2026-07-30,13544
dlt,2026-07-30,5678
duckdb,2026-07-31,39850
polars,2026-07-31,39147
dbt,2026-07-31,13549
dlt,2026-07-31,5680
duckdb,2026-08-01,39874
polars,2026-08-01,39154
dbt,2026-08-01,13556
dlt,2026-08-01,5681
